timestamp,gate_id,facility_type,inlet_node,outlet_node,status,setting,flow_cms
2017-06-29 00:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 00:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0009394802192666446
2017-06-29 00:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 00:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 00:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 00:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 00:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 00:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 00:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 00:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 00:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 00:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 00:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 00:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 00:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 00:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 00:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 00:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 00:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 00:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 00:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 00:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,4.829624617687686e-05
2017-06-29 00:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 00:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 00:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0017920949445355005
2017-06-29 00:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 00:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 00:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 00:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 00:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 00:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 00:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 00:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 00:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 00:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 00:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 00:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 00:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 00:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 00:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 00:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 00:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 00:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 00:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 00:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.00010194774313683139
2017-06-29 00:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 00:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002113294240834406
2017-06-29 01:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 01:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 01:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 01:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:00:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:00:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 01:00:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 01:00:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 01:00:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 01:00:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 01:00:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 01:00:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 01:00:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 01:00:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:00:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:00:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:00:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:00:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 01:00:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 01:00:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0002217899032030585
2017-06-29 01:00:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:00:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:15:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0022399485412979295
2017-06-29 01:15:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 01:15:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 01:15:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 01:15:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:15:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:15:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 01:15:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 01:15:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 01:15:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 01:15:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 01:15:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 01:15:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 01:15:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 01:15:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:15:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:15:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:15:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:15:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 01:15:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 01:15:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0002796132195964126
2017-06-29 01:15:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002323524136257215
2017-06-29 01:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 01:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 01:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 01:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 01:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 01:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 01:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 01:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 01:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 01:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 01:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 01:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 01:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 01:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0002834858252075144
2017-06-29 01:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0023481196838369134
2017-06-29 01:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 01:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 01:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 01:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 01:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 01:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 01:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 01:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 01:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 01:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 01:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 01:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 01:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 01:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0002812448411280623
2017-06-29 01:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002351804132576334
2017-06-29 02:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 02:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 02:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 02:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:00:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:00:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 02:00:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 02:00:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 02:00:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 02:00:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 02:00:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 02:00:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 02:00:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 02:00:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:00:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:00:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:00:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:00:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 02:00:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 02:00:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.000271060977426062
2017-06-29 02:00:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:00:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:15:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0023345155130679706
2017-06-29 02:15:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 02:15:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 02:15:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 02:15:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:15:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:15:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 02:15:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 02:15:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 02:15:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 02:15:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 02:15:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 02:15:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 02:15:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 02:15:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:15:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:15:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:15:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:15:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 02:15:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 02:15:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0001693343689040056
2017-06-29 02:15:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0022373726822293868
2017-06-29 02:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 02:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 02:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 02:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 02:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 02:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 02:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 02:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 02:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 02:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 02:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 02:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 02:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 02:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,3.319104027086893e-05
2017-06-29 02:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002175482026940101
2017-06-29 02:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 02:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 02:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 02:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 02:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 02:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 02:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 02:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 02:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 02:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 02:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 02:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 02:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 02:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,2.675977214315247e-05
2017-06-29 02:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 03:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002151365554680068
2017-06-29 03:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 03:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 03:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 03:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
